t,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9
8.800000000000000044e-01,2.540331784747336119e-01,3.810497414573167929e-01,2.499635248967124190e-01,1.271254600619206587e-01,2.836593418519566256e-01,3.829457339475559330e-01,3.741001925344336621e-01,3.525046924291203587e-01,3.653249929165571230e-01,4.650739396503221768e-01
8.900000000000000133e-01,4.214949829625382338e-01,2.220025237722400013e-01,2.227085739057781677e-01,3.405131656087133085e-01,4.177159862902996568e-01,3.954956610936709027e-01,7.560917609883398560e-01,8.140274358584682624e-01,5.710761570054587732e-01,2.734850589231758167e-01
9.000000000000000222e-01,2.535369976023368332e-01,2.798627537279574362e-01,2.152956172778626720e-01,1.904073602736680582e-01,2.958653798401525425e-01,5.599125228236142560e-01,4.688521475819618645e-01,2.473990336412073554e-01,3.489848565129525793e-01,3.481450171363732471e-01
9.100000000000000311e-01,2.591125376137464742e-01,3.340837529085080582e-01,2.324958405592784660e-01,1.351511393630833446e-01,2.033539416445015457e-01,5.319275771521898566e-01,2.285845849068917079e-01,7.668200007044397026e-02,2.723478669102034622e-01,4.198472875920412073e-01
9.200000000000000400e-01,1.773019224450177456e-01,2.662695635530601401e-01,2.537231653218648963e-01,1.065588959552587478e-01,2.353052209160334252e-01,4.688033418777708405e-01,4.410559115033012012e-01,1.494134754143029986e-01,3.224249814363557287e-01,3.384084791244574286e-01
9.300000000000000488e-01,2.358795537618637583e-01,3.163110017192929946e-01,2.405000523301299709e-01,9.137252652630835359e-02,2.256422640724440321e-01,5.737704145604755057e-01,1.921129274613045390e-01,1.842293532717962368e-01,3.204119459229180511e-01,4.076860771860623678e-01
9.400000000000000577e-01,2.780591501542111765e-01,2.103735925723910771e-01,2.046315624410159351e-01,1.736046692490779697e-01,2.316479084850656123e-01,4.987472074844659375e-01,3.125586747810201182e-01,4.066327287349991160e-01,4.298726689326426431e-01,2.759583184157511360e-01
9.500000000000000666e-01,2.234629696743560268e-01,2.744721225757463245e-01,1.999685692002934057e-01,6.657528946224461341e-02,2.014220642333861278e-01,4.956198447206821567e-01,2.392910616482388786e-01,1.872115034783259357e-01,3.137853366813452283e-01,3.672637506425316389e-01
9.599999999999999645e-01,2.160883470654796357e-01,2.735313024683656002e-01,2.156793985832260174e-01,1.148356402480192190e-01,1.866313760977456881e-01,5.216481473874153840e-01,1.993850273370139925e-01,1.669269816072075918e-01,3.289910588908577793e-01,3.735505096243272871e-01
9.699999999999999734e-01,4.667593060366231894e-01,1.435248653827044252e-01,2.254871045801891682e-01,2.644558466951040243e-01,3.756623890378363861e-01,5.039521879644295321e-01,8.245971530667914884e-01,1.589785400546736283e-01,3.842143486169342648e-01,2.000381564712158666e-01
9.799999999999999822e-01,1.747954186837309687e-01,2.581365863320200793e-01,2.019564295757471373e-01,8.553113313454435707e-02,1.876012862844409212e-01,3.333190438215118401e-01,2.331463619132590759e-01,1.151403141069915481e-01,3.454408084035045512e-01,3.673117498144055637e-01
