t,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9
3.200000000000000067e-01,9.591502169049694881e-01,8.386671263101925788e-01,8.787873536270012220e-01,8.441928365929555200e-01,9.401851418366229396e-01,8.151493226864462427e-01,9.586207255478890188e-01,9.451514027829363007e-01,9.136547532581518194e-01,6.900481553447174177e-01
3.300000000000000155e-01,9.488853321815977626e-01,8.312830209219115307e-01,8.941655054302031225e-01,7.811907288721037235e-01,9.229971436621720038e-01,8.247185128858048886e-01,9.549268277632261270e-01,9.389657360521715956e-01,9.267990501274244730e-01,7.961538314953737761e-01
3.400000000000000244e-01,9.396313625815425619e-01,8.246729317769178058e-01,9.093092584997500838e-01,8.168495987048446372e-01,9.341207950810641591e-01,8.004468750369269081e-01,9.514846325821442186e-01,9.327119494997972993e-01,9.461400147996141818e-01,5.431541566785351716e-01
3.500000000000000333e-01,9.393447740009415181e-01,8.081725858957498065e-01,9.142651479404101389e-01,8.051741878115203921e-01,9.279193736693626127e-01,7.768677156614182122e-01,9.477956288493574188e-01,9.263445946891136762e-01,9.395850719876619461e-01,1.744366432780543041e-01
3.599999999999999867e-01,9.585522895707166979e-01,7.938592611793267029e-01,9.167856396452345180e-01,7.815367037331186761e-01,9.313335504019316646e-01,7.687912599239983269e-01,9.394361308825944779e-01,9.175615132626481207e-01,9.241631360121754790e-01,2.569556873372351169e-01
3.699999999999999956e-01,9.367514663034349764e-01,7.831458142061885619e-01,9.032463722883273816e-01,7.926288143025458366e-01,9.290398057970320478e-01,7.397158044904030838e-01,9.287639386712865930e-01,9.075158139695466142e-01,9.228704670241665298e-01,7.149614066662081102e-01
3.800000000000000044e-01,9.205570727430096856e-01,7.708419949025633322e-01,8.720187534592129808e-01,7.126032277147442695e-01,9.263163504032536633e-01,7.151760967936996449e-01,9.236961023874958876e-01,8.975102546206424892e-01,8.998809414936499440e-01,7.189132538005426065e-01
3.900000000000000133e-01,9.427907928721542818e-01,7.567073220614556339e-01,8.556390029344267401e-01,7.365023459509061343e-01,9.225551079811136201e-01,7.384516832780484430e-01,9.250477338664992999e-01,8.873752043547936674e-01,8.962362899301297148e-01,3.038394917481465063e-01
4.000000000000000222e-01,9.466367512930301542e-01,7.487528002073847722e-01,8.630486017113506714e-01,7.501886829013667546e-01,9.410164078303887569e-01,7.197682004166711112e-01,9.249184952269206006e-01,8.783242985086062715e-01,8.998202208669955349e-01,6.273169275731130257e-02
4.100000000000000311e-01,9.362413448578554842e-01,7.465076173122143777e-01,8.685593381030591864e-01,7.160345474572707980e-01,9.361691969539244207e-01,6.854407868052841968e-01,9.199866470533704099e-01,8.717849507983794766e-01,8.966154765596827669e-01,2.993941758780852558e-01
