t,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9
3.300000000000000155e-01,3.134235653265862176e-01,7.463787702444005800e-01,7.673944668741283781e-01,3.488340901251458792e-01,8.015746732603790115e-01,6.016137425920837778e-01,3.725807054699490917e-01,7.077227395387744036e-01,6.325402202353535008e-01,4.290451031450486785e-01
3.400000000000000244e-01,4.619304890614974735e-01,6.637605825411293514e-01,7.015693392392164940e-01,5.749829461911505346e-01,8.246104819966341148e-01,6.332701000526055335e-01,4.474565794713685207e-01,1.544126896855295972e-01,6.422608236784156377e-01,8.744435949607949621e-02
3.500000000000000333e-01,1.008764164424786197e-01,5.259964905512363176e-01,1.546386869266729303e-01,6.969015480085976044e-01,8.091696610199045070e-01,6.393596385700869855e-02,4.636970417699041169e-01,6.727155622654263922e-01,6.112070292419835571e-01,7.983286832830602253e-02
3.599999999999999867e-01,2.021212712249613463e-02,5.770104544622095544e-01,1.096229722051424577e-01,6.056560613446805574e-02,7.867810668775835348e-01,4.026562960941596492e-01,3.567500711764971522e-01,9.225798529616748012e-02,8.766232110528048294e-01,3.719707620487660571e-01
3.699999999999999956e-01,5.538906455262410794e-02,5.076478547877490977e-01,6.655537838553723384e-01,3.567061843917787023e-01,7.753726718587153899e-01,8.101755614035124342e-01,6.705503608370069202e-01,3.479309094328660867e-01,6.721758918401232741e-01,1.495701629382030218e-01
3.800000000000000044e-01,2.412752371326256848e-02,6.383340088710616200e-01,4.953321750409788726e-01,4.666435435565094436e-01,7.911082962845772393e-01,7.691941063536957834e-01,4.634189269881330842e-01,5.364463629293705904e-02,7.603541900771539908e-01,3.117023336275275280e-01
3.900000000000000133e-01,1.026186745510718062e-01,6.519680536669932858e-01,2.905042391492070331e-01,8.360101269377265831e-01,7.488285073502586320e-01,6.121497098107461232e-01,4.869168868529540339e-01,2.947829318320109859e-01,6.188011694734198986e-01,7.347446185262055396e-01
4.000000000000000222e-01,2.568593239350053237e-01,6.188999757886192166e-01,2.403728792380267487e-01,1.085356567087867319e-01,7.530871242598267123e-01,4.515661467346775981e-01,4.478163803955079181e-01,4.823248136309025713e-01,3.248649181305583444e-01,3.510987269156408686e-01
4.100000000000000311e-01,1.810448524666160297e-01,5.030286111915241998e-01,4.304781058582595188e-01,6.173672352833207144e-01,6.547621322241850006e-01,1.494990311295444907e-01,2.917440763587826891e-01,5.930548682606033850e-01,6.849025911788388932e-01,4.273786499941298334e-02
4.199999999999999845e-01,1.363731597613433988e-01,5.830055146994920223e-01,6.272125341565469858e-01,5.423033832289450573e-02,7.434855214162195969e-01,7.928328834433095995e-01,4.970824887674579751e-01,3.442062160341448074e-01,3.840227005811067129e-01,1.270534365881243466e-01
4.299999999999999933e-01,4.219848163012008407e-02,3.751818502770250530e-01,1.926879620840882545e-01,7.737400529115289194e-01,5.532480835933646368e-01,2.592368383943586263e-01,3.303641314614634839e-01,2.451307285187557805e-01,7.961916533951478303e-02,7.451589918550355351e-01
4.400000000000000022e-01,1.873712890592969110e-02,5.418907593463215822e-01,9.508264823455576942e-02,4.334952772087332096e-01,6.825224146856631036e-01,3.963483995196000476e-01,4.432732163328114150e-01,1.116681002254423516e-01,6.931978710394617327e-01,2.528064912767701844e-01
4.500000000000000111e-01,1.193230925458373948e-01,4.751046901291543501e-01,4.827496349241750528e-01,6.404290696343982736e-01,4.635666568927462872e-01,5.532206533880713595e-01,5.084385845867013254e-01,5.758865616252331621e-02,4.086039605490370819e-01,3.481901673984123119e-02
4.600000000000000200e-01,2.903455881133284663e-02,5.292978819998075402e-01,6.313551359373152927e-01,3.047585269400012939e-02,6.329863087309788305e-01,4.430568566194069136e-01,2.916223465048102814e-01,1.635949141276141772e-01,1.042509982596497992e-01,5.044605849848706747e-01
4.700000000000000289e-01,2.749761446660882180e-01,5.036789246524283614e-01,4.507595920332684303e-01,6.983108839903570120e-01,4.196920594439836893e-01,3.552992169326290028e-01,6.767771171349031833e-01,7.836161273321493592e-01,4.805191159917260868e-01,4.170669121567374682e-01
4.799999999999999822e-01,2.144503533278812463e-02,5.701092468765736054e-01,1.245600770056825707e-01,3.936051181688663969e-01,5.032067885065490964e-01,4.445600016033661728e-01,2.242461723889713210e-01,1.290436138435730740e-01,4.891842371352511654e-01,5.125389724266385949e-01
4.899999999999999911e-01,2.308917137489735760e-01,3.584495950209976578e-01,1.177459594956924288e-01,5.704442691140144683e-01,4.096194855681262736e-01,9.523987129270898577e-02,4.225442735470746891e-01,6.320088684373182941e-01,4.535126561056085359e-01,3.289773915295209905e-01
5.000000000000000000e-01,3.576077567622628142e-03,5.470463106987670798e-01,5.383935115459816956e-01,3.943743906094544782e-02,3.630146102879659997e-01,7.273321555989321618e-01,4.145660296291582281e-01,1.454720720159338732e-02,7.508433065245146976e-01,2.783840246406936170e-01
5.100000000000000089e-01,7.636693578651268521e-02,4.612823833040106125e-01,3.457453334930976063e-01,4.477820176827433385e-01,4.502922188572886508e-01,3.972192209006261132e-01,1.878480389003803486e-01,5.023149645784792394e-01,6.807155717329796962e-01,2.061772421385629217e-01
5.200000000000000178e-01,1.919509799654907367e-02,4.815937329516118970e-01,1.426955786671987858e-01,2.950424688974386811e-01,2.076031071987806120e-01,4.920069465223332883e-01,6.340244260186314040e-01,1.147112697941527759e-01,6.106687750402780557e-01,1.442479420327586609e-02
5.300000000000000266e-01,5.347062484671532417e-02,4.377945624603139518e-01,3.807576039664835044e-01,4.877098894948045937e-01,4.986955084449058995e-01,4.846240663305798613e-01,1.881245368101809590e-01,3.125354827510887223e-01,7.059027227815760641e-01,2.314004449625213511e-01
